"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel"
"FC","2020-07-31",88.7,-2.28,5.58,"Yu Darvish",592567,506433,"null","foul",NA,NA,NA,NA,14,"null","R","L","R","CHC","PIT","S","null","null",2,2,2020,0.5,-0.1,0.96,1.92,NA,NA,NA,2,4,"Top",NA,NA,NA,NA,605170,NA,"null",7.00705865149805,-129.041542880061,-2.79385492791152,3.86349593013441,24.5940414171722,-32.6626317356671,3.55,1.63,NA,NA,NA,89.5,2813,6.6,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.28,"null","null","null","null","null","null","null",27,5,"Cutter",1,0,0,1,0,1,0,1,"Infield shift","Standard",NA
"FC","2020-07-31",86.3,-2.05,5.59,"Yu Darvish",592567,506433,"null","swinging_strike",NA,NA,NA,NA,14,"null","R","L","R","CHC","PIT","S","null","null",2,1,2020,0.4,-0.2,0.83,1.32,NA,NA,NA,2,4,"Top",NA,NA,NA,NA,605170,NA,"null",6.13435864576622,-125.617806107378,-3.70233327761407,2.99609403574195,21.8398259058742,-33.5850571303798,3.55,1.63,NA,NA,NA,87.4,2746,6.7,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.05,"null","null","null","null","null","null","null",27,4,"Cutter",1,0,0,1,0,1,0,1,"Infield shift","Standard",NA
"CU","2020-07-31",76.4,-2.01,5.79,"Yu Darvish",592567,506433,"null","ball",NA,NA,NA,NA,11,"null","R","L","R","CHC","PIT","B","null","null",1,1,2020,1.1,-1.1,-1.41,5.29,NA,NA,NA,2,4,"Top",NA,NA,NA,NA,605170,NA,"null",-0.64287318604357,-110.906855110512,8.07104703795542,8.77171127510917,21.3610241647153,-43.1193941588259,3.44,1.51,NA,NA,NA,76.2,2695,6.4,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.01,"null","null","null","null","null","null","null",27,3,"Curveball",1,0,0,1,0,1,0,1,"Infield shift","Standard",NA
"FS","2020-07-31",89.9,-2.06,5.6,"Yu Darvish",592567,506433,"null","ball",NA,NA,NA,NA,14,"null","R","L","R","CHC","PIT","B","null","null",0,1,2020,-1.2,0.7,0.38,0.89,NA,NA,NA,2,4,"Top",NA,NA,NA,NA,605170,NA,"null",8.69652747167399,-130.61492922973,-7.25191013003577,-15.5585644449533,25.3405800584939,-23.0001613887852,3.57,1.67,NA,NA,NA,91,1790,6.9,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.06,"null","null","null","null","null","null","null",27,2,"Split-Finger",1,0,0,1,0,1,0,1,"Infield shift","Standard",NA
"FC","2020-07-31",93.7,-2.1,5.6,"Yu Darvish",592567,506433,"null","called_strike",NA,NA,NA,NA,6,"null","R","L","R","CHC","PIT","S","null","null",0,0,2020,0.1,0.9,0.77,2.49,NA,NA,NA,2,4,"Top",NA,NA,NA,NA,605170,NA,"null",7.32937562481776,-136.373044189367,-4.27636581560475,-0.62972077673939,27.1680322146478,-20.8025637064802,3.51,1.74,NA,NA,NA,94.8,2980,6.7,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.1,"null","null","null","null","null","null","null",27,1,"Cutter",1,0,0,1,0,1,0,1,"Infield shift","Standard",NA
"FF","2020-07-31",97.6,-2.06,5.71,"Yu Darvish",605137,506433,"strikeout","swinging_strike",NA,NA,NA,NA,4,"Josh Bell strikes out swinging.  ","R","L","R","CHC","PIT","S","2","null",0,2,2020,-0.8,1.5,-0.32,2.6,NA,NA,NA,1,4,"Top",NA,NA,NA,NA,605170,NA,"null",6.5236410872844,-141.991374800961,-6.26171678857148,-11.9438336042474,31.4681400250348,-11.2197319864077,3.55,1.63,NA,NA,NA,98.3,2712,6.6,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.06,"null","null","0.00","1","0","0","null",26,3,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shift","Standard",NA
"KC","2020-07-31",78.4,-1.85,5.8,"Yu Darvish",605137,506433,"null","foul",NA,NA,NA,NA,3,"null","R","L","R","CHC","PIT","S","null","null",0,1,2020,0.8,-1.1,0.31,3.37,NA,NA,NA,1,4,"Top",NA,NA,NA,NA,605170,NA,"null",3.22572615524735,-114.073902558862,3.59726921029888,6.36502695684819,19.9903228114593,-42.4188883155822,3.55,1.63,255,86.5,20,79.2,2706,6.7,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.85,"null","null","null","null","null","null","null",26,2,"Knuckle Curve",1,0,0,1,0,1,0,1,"Infield shift","Standard",0
"SL","2020-07-31",78.9,-2.25,5.62,"Yu Darvish",605137,506433,"null","swinging_strike",NA,NA,NA,NA,11,"null","R","L","R","CHC","PIT","S","null","null",0,0,2020,1.4,-0.2,-1.1,2.92,NA,NA,NA,1,4,"Top",NA,NA,NA,NA,605170,NA,"null",-0.197007286057364,-114.94751561915,1.41703245613229,12.7957589130477,21.7562187866456,-34.8504095478123,3.55,1.63,NA,NA,NA,79.4,2627,6.6,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.25,"null","null","null","null","null","null","null",26,1,"Slider",1,0,0,1,0,1,0,1,"Infield shift","Standard",NA
"FC","2020-07-31",87.3,-2.14,5.76,"Yu Darvish",621028,506433,"strikeout","swinging_strike",NA,NA,NA,NA,8,"Kevin Newman strikes out swinging.  ","R","R","R","CHC","PIT","S","2","null",3,2,2020,0.4,-0.1,-0.09,1.59,NA,NA,NA,0,4,"Top",NA,NA,NA,NA,605170,NA,"null",4.17813398978641,-127.184628484988,-3.69095076717436,3.44904740947832,23.3650551068292,-33.2710653899513,3.37,1.53,NA,NA,NA,88.3,2834,6.6,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.14,"null","null","0.00","1","0","0","null",25,7,"Cutter",1,0,0,1,0,1,0,1,"Standard","Standard",NA
"KC","2020-07-31",78.5,-1.9,5.9,"Yu Darvish",621028,506433,"null","ball",NA,NA,NA,NA,11,"null","R","R","R","CHC","PIT","B","null","null",2,2,2020,1.1,-1,-0.01,3.62,NA,NA,NA,0,4,"Top",NA,NA,NA,NA,605170,NA,"null",2.02120583690112,-114.279882548764,3.85704444079371,9.48238095244905,21.6407896807664,-42.1012122431419,3.03,1.4,NA,NA,NA,78.9,2812,6.6,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.9,"null","null","null","null","null","null","null",25,6,"Knuckle Curve",1,0,0,1,0,1,0,1,"Standard","Standard",NA
